PRODUTO;Coleção;Preço;Corredor;Prateleira;QTDE_CONTAGEM;U;33;34;35;36;37;38;39;40;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;DESC_COR_PRODUTO
39175;;;;;2;1;0;1;0;0;0;0;0;0;CINTO COURO SEMICROMO 598 PORTO MAGGIORE;ACESSORIOS               ;CINTO                    ;COCO                                    
39176;;;;;5;0;0;3;2;0;0;0;0;0;CINTO COURO SEMICROMO 784 PORTO MAGGIORE;ACESSORIOS               ;CINTO                    ;COCO                                    
39176;;;;;11;3;0;3;3;2;0;0;0;0;CINTO COURO SEMICROMO 784 PORTO MAGGIORE;ACESSORIOS               ;CINTO                    ;HOT PINK                                
39177;;;;;2;0;0;1;1;0;0;0;0;0;CINTO COURO SOLETA 767 PORTO MAGGIORE   ;ACESSORIOS               ;CINTO                    ;LIMA                                    
39179;;;;;3;2;0;0;1;0;0;0;0;0;CINTO COURO SOLETA 785 PORTO GIOIA      ;ACESSORIOS               ;CINTO                    ;HOT PINK                                
39184;;;;;1;1;0;0;0;0;0;0;0;0;CHAVEIRO FLOATER CHAV2411 YEGGUS        ;ACESSORIOS               ;CHAVEIRO                 ;PRETA                                   
39184;;;;;5;5;0;0;0;0;0;0;0;0;CHAVEIRO FLOATER CHAV2411 YEGGUS        ;ACESSORIOS               ;CHAVEIRO                 ;VERMELHO                                
39184;;;;;1;1;0;0;0;0;0;0;0;0;CHAVEIRO FLOATER CHAV2411 YEGGUS        ;ACESSORIOS               ;CHAVEIRO                 ;CAMEL                                   
39185;;;;;1;1;0;0;0;0;0;0;0;0;CARTEIRA FLOATER CA2476G YEGGUS         ;ACESSORIOS               ;CARTEIRA                 ;TERRACOTA                               
39202;;;;;1;0;0;0;0;1;0;0;0;0;BOTA CURTA KNIT 4424227 BEBECE          ;CALCADOS                 ;BOTA CURTA               ;ROSE                                    
39243;;;;;1;0;0;0;1;0;0;0;0;0;SANDALIA ALTA LIDI METALIZADO 4912209 DA;CALCADOS                 ;SANDALIA ALTA            ;CHAMPAGNE                               
39284;;;;;7;7;0;0;0;0;0;0;0;0;CARTEIRA METALIZADO CA2480 YEGGUS       ;ACESSORIOS               ;CARTEIRA                 ;PRETA                                   
39284;;;;;7;7;0;0;0;0;0;0;0;0;CARTEIRA METALIZADO CA2480 YEGGUS       ;ACESSORIOS               ;CARTEIRA                 ;PEWTER                                  
39365;;;;;1;0;0;1;0;0;0;0;0;0;CINTO COURO SEMICROMO 797 PORTO GIOIA   ;ACESSORIOS               ;CINTO                    ;OFF WHITE                               
39427;;;;;1;1;0;0;0;0;0;0;0;0;RASTEIRA CHINELO NAPA 6841054 PARABELLA ;CALCADOS                 ;RASTEIRA CHINELO         ;PRETA                                   
39427;;;;;9;1;0;1;6;1;0;0;0;0;RASTEIRA CHINELO NAPA 6841054 PARABELLA ;CALCADOS                 ;RASTEIRA CHINELO         ;CAMEL OURO                              
39427;;;;;17;2;0;4;7;2;1;1;0;0;RASTEIRA CHINELO NAPA 6841054 PARABELLA ;CALCADOS                 ;RASTEIRA CHINELO         ;CAMEL CRISTAL                           
39437;;;;;1;0;0;0;0;1;0;0;0;0;RASTEIRA TRASEIRO NOBUCK 2006 433 VIA FA;CALCADOS                 ;RASTEIRA TRASEIRO        ;PRETA                                   
39469;;;;;2;0;0;0;0;1;1;0;0;0;RASTEIRA TRASEIRO NAPA I65 GATA MANIA   ;CALCADOS                 ;RASTEIRA TRASEIRO        ;CAMEL                                   
39469;;;;;10;0;0;0;2;4;3;1;0;0;RASTEIRA TRASEIRO NAPA I65 GATA MANIA   ;CALCADOS                 ;RASTEIRA TRASEIRO        ;MILK                                    
39478;;;;;1;0;0;1;0;0;0;0;0;0;SCARPIN SOPHIA NAPA 62300 YOUNG         ;CALCADOS                 ;SCARPIN                  ;BISCUIT                                 
39606;;;;;1;1;0;0;0;0;0;0;0;0;MOCASSIM COURO VEGETAL SEDA 161112866 KA;CALCADOS                 ;MOCASSIM                 ;PRETA                                   
39606;;;;;1;1;0;0;0;0;0;0;0;0;MOCASSIM COURO VEGETAL SEDA 161112866 KA;CALCADOS                 ;MOCASSIM                 ;CAMEL                                   
